"ID","EMPRESA","FECHA_DOCUMENTO","REFERENCIA_DOCUMENTO","NUMERO_DOCUMENTO","MONEDA","TIPO_CAMBIO","DEBITO_CREDITO","CUENTA_CONTABLE","CODIGO_PROVEEDOR","IMPORTE","SUCURSAL","CONDICION_PAGO","FECHA_VENCIMIENTO","BLOQUEO_PAGO","SISTEMA_ORIGEN","FECHA_ENVIO","FECHA_CONTABLE","CLASE_DOCUMENTO","NUMERO_REFERENCIA","CENTRO_COSTO","CENTRO_BENEFICIO","NUMERO_UUID","FLAG_ENVIADO","FECHA_RECEPCION","","ORIGEN_ETL","IdPeriodo"
"8FE4BDDE-4C12-43A6-95EA-9BC45CD73AE3","2005",2025-08-31,Fill Rate Agosto 2025,"08-Fill Rats 08-000751169-25M",MXN,1.0000,D,"2001000001","487",675.34,"9502",C001,2025-08-31,,REBATES                       ,2025-10-24,2025-10-22,KI,"2",SD11000000,"",,"0",2025-10-22,REMAN,SODISAP,"158"
"11EACEE9-AC9A-4035-BF89-7693DD726999","2005",2025-08-31,Fill Rate Agosto 2025,"08-Fill Rats 08-000751169-25M",MXN,1.0000,C,"5801011003","487",582.19,"9502",C001,2025-08-31,,REBATES                       ,2025-10-24,2025-10-22,KI,"2",SD11000000,"",,"0",2025-10-22,REMAN,SODISAP,"158"
A128467B-5BBE-4231-8443-A1CBB63B9F4B,"2005",2025-08-31,Fill Rate Agosto 2025,"08-Fill Rats 08-000751169-25M",MXN,1.0000,C,"1008030201","487",93.15,"9502",C001,2025-08-31,,REBATES                       ,2025-10-24,2025-10-22,KI,"2",SD11000000,"",,"0",2025-10-22,REMAN,SODISAP,"158"
BA088283-703E-4953-82F6-1512981702B0,"2005",2025-08-31,Fill Rate Agosto 2025,"08-Fill Rats 08-000751169-25M",MXN,1.0000,D,"2001000001","9642",461.12,"9502",C001,2025-08-31,,REBATES                       ,2025-10-24,2025-10-22,KI,"3",SD11000000,"",,"0",2025-10-22,REMAN,SODISAP,"158"
C69E7422-9F79-44AD-95FA-3EC77726DA02,"2005",2025-08-31,Fill Rate Agosto 2025,"08-Fill Rats 08-000751169-25M",MXN,1.0000,C,"5801011003","9642",397.52,"9502",C001,2025-08-31,,REBATES                       ,2025-10-24,2025-10-22,KI,"3",SD11000000,"",,"0",2025-10-22,REMAN,SODISAP,"158"
C30C21B3-10FC-4C31-942B-A7FB037C5C86,"2005",2025-08-31,Fill Rate Agosto 2025,"08-Fill Rats 08-000751169-25M",MXN,1.0000,C,"1008030201","9642",63.60,"9502",C001,2025-08-31,,REBATES                       ,2025-10-24,2025-10-22,KI,"3",SD11000000,"",,"0",2025-10-22,REMAN,SODISAP,"158"
C6D61DDB-C720-4412-9190-85F1DD5C8FF5,"2005",2025-08-31,Fill Rate Agosto 2025,"08-Fill Rats 08-000751169-25M",MXN,1.0000,D,"2001000001","15052",135.93,"9502",C001,2025-08-31,,REBATES                       ,2025-10-24,2025-10-22,KI,"4",SD11000000,"",,"0",2025-10-22,REMAN,SODISAP,"158"
"38E8D57C-2E05-4D2B-BA0C-844CA7422A99","2005",2025-08-31,Fill Rate Agosto 2025,"08-Fill Rats 08-000751169-25M",MXN,1.0000,C,"5801011003","15052",117.19,"9502",C001,2025-08-31,,REBATES                       ,2025-10-24,2025-10-22,KI,"4",SD11000000,"",,"0",2025-10-22,REMAN,SODISAP,"158"
D3B82249-161D-490C-8652-40067D31CD98,"2005",2025-08-31,Fill Rate Agosto 2025,"08-Fill Rats 08-000751169-25M",MXN,1.0000,C,"1008030201","15052",18.74,"9502",C001,2025-08-31,,REBATES                       ,2025-10-24,2025-10-22,KI,"4",SD11000000,"",,"0",2025-10-22,REMAN,SODISAP,"158"
A3989826-16EF-4781-BD45-9CF2A0104838,"2005",2025-08-31,Fill Rate Agosto 2025,"08-Fill Rats 08-000751169-25M",MXN,1.0000,D,"2001000001","17685",691.77,"9502",C001,2025-08-31,,REBATES                       ,2025-10-24,2025-10-22,KI,"6",SD11000000,"",,"0",2025-10-22,REMAN,SODISAP,"158"
